     724AB  00 11.8 +66 08  A0 ^       7.316  -0.229   0.038   0.044  4 9*
     725    00 11.7 +57 16  F5Ib-II    7.068   0.681   0.654   0.592  5 5
     743    00 12.0 +48 09  gK4        6.182   1.608   1.510   1.075  4 3
     755    00 12.0 +28 36  F0 ^       7.192  -0.043   0.381   0.332  2 2
     756    00 12.0 +23 28  K0III      6.592   0.578   1.007   0.735  4 3
     761AB  00 12.1 +53 37  A7Vn+F2V   6.865   0.004   0.264   0.219  4 5*
     780    00 12.0 -13 49  G5 ^       6.572   0.823   1.091   0.769  4 4
     800    00 12.6 +44 42  K0 ^       6.511   0.877   1.102   0.763  4 3
     801    00 12.6 +44 35  K0 ^       7.438   1.715   1.585   1.136  3 3
     802    00 12.6 +44 19  K0 ^       7.024   0.888   1.120   0.790  4 3
     818    00 12.8 +46 06  F2 ^       6.637  -0.082   0.396   0.328  4 2
     820    00 12.7 -01 14  K0 ^       7.220   0.736   1.086   0.786  4 2
     829    00 12.8 +37 42  B2V        6.717  -0.871  -0.100  -0.067  4 3
     849    00 13.0 +49 56  A2 ^       7.181   0.094   0.197   0.153  5 4
     861    00 13.2 +62 02  A2/F2      6.641   0.164   0.206   0.145  7 2
     873    00 13.2 +20 45  K0 ^       9.188   0.732   1.033   0.788  6 4
     874    00 13.2 +16 55  K1III      6.534   0.724   1.064   0.768  3 4
     883    00 13.3 +49 43  A0 ^       7.324   0.066   0.043   0.050  4 4
     886A   00 13.2 +15 11  B2IV       2.826  -1.054  -0.204  -0.169  6 3*
     895AB  00 13.4 +26 59  G0III      6.273   0.253   0.678   0.561  4 3*
     905    00 13.5 +41 02  F0IV       5.713  -0.096   0.332   0.293  5 2
     908    00 13.5 -04 39  K2 ^       9.463   1.218   1.285   0.881  2 7
     936    00 13.9 +59 60  G7.5IIab   6.913   0.705   1.143   0.838  6 2
     940    00 13.8 +01 23  K0 ^       6.790   1.227   1.289   0.897  4 3
     952    00 14.0 +33 12  A1V        6.228  -0.022  -0.006  -0.009  5 3
     976    00 14.1 +26 16  F7IV       7.006  -0.041   0.520   0.427  6 3
     995    00 14.6 +41 02  K0 ^       6.696   0.914   1.203   0.865  4 3
    1013    00 14.6 +20 12  M2+III     4.811   1.874   1.616   1.367  5 5*
    1014AB  00 14.5 -07 47  M3III      5.129   1.813   1.659   1.523  6 7*
    1031    00 14.6 +01 18  F5 ^       7.025  -0.074   0.470   0.385  4 3
    1048    00 14.9 +22 17  A1p        6.254   0.016  -0.010  -0.016  4 3*
